date usd_value
2015-08-09 2.94
2015-08-16 1.43
2015-08-23 1.35
2015-08-30 1.16
2015-09-06 1.28
2015-09-13 1.19
2015-09-20 0.87
2015-09-27 0.86
2015-10-04 0.69
2015-10-11 0.60
2015-10-18 0.54
2015-10-25 0.46
2015-11-01 1.07
2015-11-08 0.93
2015-11-15 0.85
2015-11-22 0.98
2015-11-29 0.86
2015-12-06 0.81
2015-12-13 0.82
2015-12-20 0.95
2015-12-27 0.87
2016-01-03 0.95
2016-01-10 0.95
2016-01-17 1.13
2016-01-24 1.53
2016-01-31 2.49
2016-02-07 2.54
2016-02-14 4.94
2016-02-21 4.05
2016-02-28 6.28
2016-03-06 9.26
2016-03-13 11.65
2016-03-20 11.61
2016-03-27 11.42
2016-04-03 11.80
2016-04-10 10.45
2016-04-17 8.39
2016-04-24 8.48
2016-05-01 7.43
2016-05-08 9.57
2016-05-15 10.14
2016-05-22 13.94
2016-05-29 12.45
2016-06-05 13.87
2016-06-12 14.46
2016-06-19 19.64
2016-06-26 13.10
2016-07-03 12.51
2016-07-10 10.09
2016-07-17 11.10
2016-07-24 12.42
2016-07-31 12.74
2016-08-07 10.73
2016-08-14 11.86
2016-08-21 10.89
2016-08-28 11.20
2016-09-04 12.17
2016-09-11 11.47
2016-09-18 12.02
2016-09-25 13.12
2016-10-02 13.17
2016-10-09 12.92
2016-10-16 11.95
2016-10-23 12.12
2016-10-30 11.45
2016-11-06 10.91
2016-11-13 10.58
2016-11-20 10.03
2016-11-27 9.52
2016-12-04 8.49
2016-12-11 8.53
2016-12-18 7.99
2016-12-25 7.66
2017-01-01 8.14
2017-01-08 10.79
2017-01-15 9.62
2017-01-22 10.29
2017-01-29 10.58
2017-02-05 10.72
2017-02-12 11.23
2017-02-19 12.77
2017-02-26 12.77
2017-03-05 18.14
2017-03-12 17.34
2017-03-19 41.05
2017-03-26 42.28
2017-04-02 52.65
2017-04-09 44.34
2017-04-16 48.67
2017-04-23 49.10
2017-04-30 56.94
2017-05-07 86.98
2017-05-14 90.24
2017-05-21 94.13
2017-05-28 195.29
2017-06-04 226.72
2017-06-11 258.95
2017-06-18 339.31
2017-06-25 336.36
2017-07-02 316.72
2017-07-09 270.60
2017-07-16 214.56
2017-07-23 219.25
2017-07-30 203.85
2017-08-06 224.01
2017-08-13 299.74
2017-08-20 305.19
2017-08-27 322.00
2017-09-03 381.00
2017-09-10 327.02
2017-09-17 251.84
2017-09-24 275.77
2017-10-01 301.14
2017-10-08 293.32
2017-10-15 306.25
2017-10-22 309.89
2017-10-29 297.62
2017-11-05 287.97
2017-11-12 318.13
2017-11-19 329.70
2017-11-26 399.05
2017-12-03 438.54
2017-12-10 430.28
2017-12-17 710.91
2017-12-24 837.23
2017-12-31 728.19
2018-01-07 981.24
2018-01-14 1225.62
2018-01-21 1040.52
2018-01-28 1068.50
2018-02-04 1098.87
2018-02-11 812.47
2018-02-18 932.46
2018-02-25 835.37
2018-03-04 868.27
2018-03-11 741.05
2018-03-18 603.31
2018-03-25 549.76
2018-04-01 416.16
2018-04-08 379.39
2018-04-15 449.11
2018-04-22 542.11
2018-04-29 631.71
2018-05-06 734.54
2018-05-13 755.32
2018-05-20 701.07
2018-05-27 589.22
2018-06-03 573.24
2018-06-10 609.10
2018-06-17 494.02
2018-06-24 533.89
2018-07-01 434.45
2018-07-08 474.15
2018-07-15 434.84
2018-07-22 474.92
2018-07-29 476.30
2018-08-05 416.79
2018-08-12 362.54
2018-08-19 288.34
2018-08-26 274.50
2018-09-02 284.18
2018-09-09 228.11
2018-09-16 196.45
2018-09-23 211.44
2018-09-30 220.04
2018-10-07 224.86
2018-10-14 203.02
2018-10-21 206.71
2018-10-28 204.89
2018-11-04 200.78
2018-11-11 214.78
2018-11-18 178.68
2018-11-25 133.52
2018-12-02 119.25
2018-12-09 99.70
2018-12-16 89.12
2018-12-23 108.81
2018-12-30 124.96
2019-01-06 151.80
2019-01-13 136.54
2019-01-20 122.05
2019-01-27 116.62
2019-02-03 108.01
2019-02-10 104.86
2019-02-17 122.10
2019-02-24 145.95
2019-03-03 137.41
2019-03-10 138.51
2019-03-17 133.23
2019-03-24 138.99
2019-03-31 139.90
2019-04-07 161.13
2019-04-14 167.99
2019-04-21 172.49
2019-04-28 163.62
2019-05-05 161.60
2019-05-12 170.53
2019-05-19 260.70
2019-05-26 241.13
2019-06-02 275.43
2019-06-09 244.88
2019-06-16 259.37
2019-06-23 269.62
2019-06-30 312.30
2019-07-07 295.83
2019-07-14 274.11
2019-07-21 218.58
2019-07-28 221.71
2019-08-04 214.93
2019-08-11 223.24
2019-08-18 185.15
2019-08-25 189.09
2019-09-01 169.88
2019-09-08 173.70
2019-09-15 179.73
2019-09-22 211.97
2019-09-29 167.69
2019-10-06 177.00
2019-10-13 191.99
2019-10-20 176.44
2019-10-27 162.23
2019-11-03 183.40
2019-11-10 188.43
2019-11-17 186.68
2019-11-24 168.98
2019-12-01 152.80
2019-12-08 147.35
2019-12-15 143.81
2019-12-22 128.05
2019-12-29 126.45
2020-01-05 129.39
2020-01-12 138.77
2020-01-19 162.33
2020-01-26 163.56
2020-02-02 177.13
2020-02-09 209.53
2020-02-16 267.41
2020-02-23 257.89
2020-03-01 226.71
2020-03-08 230.13
2020-03-15 156.06
2020-03-22 124.65
2020-03-29 136.06
2020-04-05 138.87
2020-04-12 170.27
2020-04-19 164.85
2020-04-26 185.51
2020-05-03 214.37
2020-05-10 206.47
2020-05-17 199.81
2020-05-24 205.19
2020-05-31 210.66
2020-06-07 243.32
2020-06-14 241.96
2020-06-21 232.72
2020-06-28 233.77
2020-07-05 229.44
2020-07-12 244.60
2020-07-19 235.36
2020-07-26 266.70
2020-08-02 322.14
2020-08-09 397.01
2020-08-16 394.90
